,title,abstract
16275649,Quantifying the specific binding between West Nile virus envelope domain III protein and the cellular receptor alphaVbeta3 integrin.,"A previous study has illustrated that the alphaVbeta3 integrin served as the functional receptor for West Nile virus (WNV) entry into cells. Domain III (DIII) of WNV envelope protein (E) was postulated to mediate virus binding to the cellular receptor. In this study, the specificity and affinity binding of WNV E DIII protein to alphaVbeta3 integrin was confirmed with co-immunoprecipitation and receptor competition assay. Binding of WNV E DIII protein to alphaVbeta3 integrin induced the phosphorylation of focal adhesion kinase that is required to mediate ligand-receptor internalization into cells. A novel platform was then developed using the atomic force microscopy to measure this specific binding force between WNV E DIII protein and the cellular receptor, alphaVbeta3 integrin. The single protein pair-interacting force measured was in the range of 45 +/- 5 piconewtons. This interacting force was highly specific as minimal force was measured in the WNV E DIII protein interaction with alphaVbeta5 integrin molecules and heparan sulfate. These experiments provided an insight to quantitate virus-receptor interaction. Force measurement using atomic force microscopy can serve to quantitatively analyze the effect of candidate drugs that modulate virus-host receptor affinity."
15144954,Nucleolar protein NPM interacts with HDM2 and protects tumor suppressor protein p53 from HDM2-mediated degradation.,"Nucleophosmin (NPM, B23) is an abundant nucleolar phosphoprotein involved in ribosome biogenesis, and interacts with tumor suppressor proteins p53 and Rb. Here we show that NPM is a UV damage response protein that undergoes nucleoplasmic redistribution and regulates p53 and HDM2 levels and their interaction. By utilizing RNAi approaches and analyses of endogenous and ectopically expressed proteins, we demonstrate that NPM binds HDM2 and acts as a negative regulator of p53-HDM2 interaction. Viral stress, enforced by expression of Kaposi's sarcoma virus K cyclin, causes NPM redistribution, K cyclin-NPM association, and p53 stabilization by dissociation of HDM2-p53 complexes. The results demonstrate novel associations of HDM2 and K cyclin with NPM and implicate NPM as a crucial controller of p53 through inhibition of HDM2."
15047801,"RoXaN, a novel cellular protein containing TPR, LD, and zinc finger motifs, forms a ternary complex with eukaryotic initiation factor 4G and rotavirus NSP3.","Rotavirus mRNAs are capped but not polyadenylated, and viral proteins are translated by the cellular translation machinery. This is accomplished through the action of the viral nonstructural protein NSP3, which specifically binds the 3' consensus sequence of viral mRNAs and interacts with the eukaryotic translation initiation factor eIF4G I. To further our understanding of the role of NSP3 in rotavirus replication, we looked for other cellular proteins capable of interacting with this viral protein. Using the yeast two-hybrid assay, we identified a novel cellular protein-binding partner for rotavirus NSP3. This 110-kDa cellular protein, named RoXaN (rotavirus X protein associated with NSP3), contains a minimum of three regions predicted to be involved in protein-protein or nucleic acid-protein interactions. A tetratricopeptide repeat region, a protein-protein interaction domain most often found in multiprotein complexes, is present in the amino-terminal region. In the carboxy terminus, at least five zinc finger motifs are observed, further suggesting the capacity of RoXaN to bind other proteins or nucleic acids. Between these two regions exists a paxillin leucine-aspartate repeat (LD) motif which is involved in protein-protein interactions. RoXaN is capable of interacting with NSP3 in vivo and during rotavirus infection. Domains of interaction were mapped and correspond to the dimerization domain of NSP3 (amino acids 163 to 237) and the LD domain of RoXaN (amino acids 244 to 341). The interaction between NSP3 and RoXaN does not impair the interaction between NSP3 and eIF4G I, and a ternary complex made of NSP3, RoXaN, and eIF4G I can be detected in rotavirus-infected cells, implicating RoXaN in translation regulation."
17728244,Stimulation of c-Myc transcriptional activity by vIRF-3 of Kaposi sarcoma-associated herpesvirus.,"Kaposi sarcoma-associated herpesvirus is associated with two lymphoproliferative disorders, primary effusion lymphoma (PEL) and Castleman disease. In PEL, Kaposi sarcoma-associated herpesvirus is present in a latent form expressing only few viral genes. Among them is a viral homologue of cellular interferon regulatory factors, vIRF-3. To study the role of vIRF-3 in PEL lymphomagenesis, we analyzed the interaction of vIRF-3 with cellular proteins. Using yeast two-hybrid screen, we detected the association between vIRF-3 and c-Myc suppressor, MM-1alpha. The vIRF-3 and MM-1alpha interaction was also demonstrated by glutathione S-transferase pulldown assay and coimmunoprecipitation of endogenous vIRF-3 and MM-1alpha in PEL-derived cell lines. Overexpression of vIRF-3 enhanced the c-Myc-dependent transcription of the gene cdk4. Addressing the molecular mechanism of the vIRF-3-mediated stimulation, we demonstrated that the association between MM-1alpha and c-Myc was inhibited by vIRF-3. Furthermore, the recruitment of vIRF-3 to the cdk4 promoter and the elevated levels of the histone H3 acetylation suggest the direct involvement of vIRF-3 in the activation of c-Myc-mediated transcription. These findings indicate that vIRF-3 can effectively stimulate c-Myc function in PEL cells and consequently contribute to de-regulation of B-cell growth and differentiation."
16230350,A mammalian chromatin remodeling complex with similarities to the yeast INO80 complex.,"The mammalian Tip49a and Tip49b proteins belong to an evolutionarily conserved family of AAA+ ATPases. In Saccharomyces cerevisiae, orthologs of Tip49a and Tip49b, called Rvb1 and Rvb2, respectively, are subunits of two distinct ATP-dependent chromatin remodeling complexes, SWR1 and INO80. We recently demonstrated that the mammalian Tip49a and Tip49b proteins are integral subunits of a chromatin remodeling complex bearing striking similarities to the S. cerevisiae SWR1 complex (Cai, Y., Jin, J., Florens, L., Swanson, S. K., Kusch, T., Li, B., Workman, J. L., Washburn, M. P., Conaway, R. C., and Conaway, J. W. (2005) J. Biol. Chem. 280, 13665-13670). In this report, we identify a new mammalian Tip49a- and Tip49b-containing ATP-dependent chromatin remodeling complex, which includes orthologs of 8 of the 15 subunits of the S. cerevisiae INO80 chromatin remodeling complex as well as at least five additional subunits unique to the human INO80 (hINO80) complex. Finally, we demonstrate that, similar to the yeast INO80 complex, the hINO80 complex exhibits DNA- and nucleosome-activated ATPase activity and catalyzes ATP-dependent nucleosome sliding."
12660167,ICP27 interacts with SRPK1 to mediate HSV splicing inhibition by altering SR protein phosphorylation.,"Infection with some viruses can alter cellular mRNA processing to favor viral gene expression. We present evidence that herpes simplex virus 1 (HSV-1) protein ICP27, which contributes to host shut-off by inhibiting pre-mRNA splicing, interacts with essential splicing factors termed SR proteins and affects their phosphorylation. During HSV-1 infection, phosphorylation of several SR proteins was reduced and this correlated with a subnuclear redistribution. Exogenous SR proteins restored splicing in ICP27-inhibited nuclear extracts and SR proteins isolated from HSV-1-infected cells activated splicing in uninfected S100 extracts, indicating that inhibition occurs by a reversible mechanism. Spliceosome assembly was blocked at the pre-spliceosomal complex A stage. Furthermore, we show that ICP27 interacts with SRPK1 and relocalizes it to the nucleus; moreover, SRPK1 activity was altered in the presence of ICP27 in vitro. We propose that ICP27 modifies SRPK1 activity resulting in hypophosphorylation of SR proteins impairing their ability to function in spliceosome assembly."
12925958,Hepatitis C virus NS5A as a potential viral Bcl-2 homologue interacts with Bax and inhibits apoptosis in hepatocellular carcinoma.,"Treatment of hepatocellular carcinoma (HCC) cells with butyrate can induce apoptosis irrespective of hepatitis B virus integration. No information is available, however, regarding the effect of butyrate on HCC in the presence of hepatitis C virus (HCV) because some HCV proteins can regulate cell survival. By gene transfer, we found that HCV core enhances but HCV NS5A antagonizes sodium phenylbutyrate (NaPB)-induced apoptosis in HCC cells, which is independent of p53. We then chose the p53-negative Hep3B HCC cell to investigate the mechanism of anti-apoptosis mediated by NS5A. In the NaPB-treated Hep3B cells without NS5A expression, induction of apoptosis was associated with Bax redistribution from the cytosol to the nucleus interior and subsequently, to a nuclear membrane-bound form. In the NS5A expressing Hep3B cells, NaPB treatment also triggered relocalization of both Bax and NS5A from the cytosol to the nucleus interior but Bax retained inside the nucleus and did not finally move to the nuclear membrane. Using double immunofluorescence and coimmunoprecipitation, we demonstrated that NS5A co-localizes and interacts with Bax in the nucleus. The HCV NS5A protein was further found to contain Bcl-2 homology domains (BH3, BH1 and BH2). Additional studies using deleted NS5A constructs were carried out to determine whether the BH2 domain or nuclear localization signal (NLS) in NS5A is required for interaction with Bax in the nucleus or inhibition of apoptosis. NS5A with deletion of both BH2 domain and NLS localized in the cytoplasm, dissociated with Bax, and lost anti-apoptosis activity during NaPB treatment. In contrast, NS5A with intact BH domains except NLS still bound directly to Bax in the perinuclear region or the nucleus, but showed less association with Bax in the nucleus and lower effect in apoptosis inhibition than full-length NS5A. These results suggest that HCV NS5A as a Bcl-2 homologue interacts with Bax to protect p53-negative HCC cells from NaPB-induced apoptosis."
10318918,"NS5A, a nonstructural protein of hepatitis C virus, binds growth factor receptor-bound protein 2 adaptor protein in a Src homology 3 domain/ligand-dependent manner and perturbs mitogenic signaling.","Although hepatitis C virus (HCV) infection is an emerging global epidemic causing severe liver disorders, the molecular mechanisms of HCV pathogenesis remain elusive. The NS5A nonstructural protein of HCV contains several proline-rich sequences consistent with Src homology (SH) 3-binding sites found in cellular signaling molecules. Here, we demonstrate that NS5A specifically bound to growth factor receptor-bound protein 2 (Grb2) adaptor protein. Immunoblot analysis of anti-Grb2 immune complexes derived from HeLa S3 cells infected with a recombinant vaccinia virus (VV) expressing NS5A revealed an interaction between NS5A and Grb2 in vivo. An inactivating point mutation in the N-terminal SH3 domain, but not in the C-terminal SH3 domain, of Grb2 displayed significant diminished binding to NS5A. However, the same mutation in both SH3 regions completely abrogated Grb2 binding to NS5A, implying that the two SH3 domains bind in cooperative fashion to NS5A. Further, mutational analysis of NS5A assigned the SH3-binding region to a proline-rich motif that is highly conserved among HCV genotypes. Importantly, phosphorylation of extracellular signal-regulated kinases 1 and 2 (ERK1/2) was inhibited in HeLa S3 cells infected with NS5A-expressing recombinant VV but not recombinant VV control. Additionally, HeLa cells stably expressing NS5A were refractory to ERK1/2 phosphorylation induced by exogenous epidermal growth factor. Moreover, the coupling of NS5A to Grb2 in these cells was induced by epidermal growth factor stimulation. Therefore, NS5A may function to perturb Grb2-mediated signaling pathways by selectively targeting the adaptor. These findings highlight a viral interceptor of cellular signaling with potential implications for HCV pathogenesis."
14993658,The hepatitis C virus NS5A protein binds to members of the Src family of tyrosine kinases and regulates kinase activity.,"The hepatitis C virus (HCV) non-structural NS5A protein has been shown to associate with a variety of cellular signalling proteins. Of particular interest is the observation that a highly conserved C-terminal polyproline motif in NS5A was able to interact with the Src-homology 3 (SH3) domains of the adaptor protein Grb2. As it has previously been shown that specific polyproline motifs can interact with a range of SH3 domains, we investigated whether NS5A was capable of interacting with other SH3 domain-containing proteins. We show here that NS5A interacts with the SH3 domains of members of the Src family of tyrosine kinases: a combination of in vitro binding assays and co-immunoprecipitation experiments revealed an interaction between NS5A and Hck, Lck, Lyn and Fyn, but interestingly not Src itself. Mutational analysis confirmed that the polyproline motif responsible for binding to Grb2 also bound to the SH3 domains of Hck, Lck, Lyn and Fyn. Furthermore, a previously unidentified polyproline motif, adjacent to the first motif, was also able to mediate binding to the SH3 domain of Lyn. Using transient transfections and Huh-7 cells harbouring a persistently replicating subgenomic HCV replicon we demonstrate that NS5A bound to native Src-family kinases in vivo and differentially modulated kinase activity, inhibiting Hck, Lck and Lyn but activating Fyn. Lastly, we show that signalling pathways controlled by Src-family kinases are modulated in replicon cells. We conclude that the interactions between NS5A and Src-family kinases are physiologically relevant and may play a role in either virus replication or pathogenesis."
9372953,Functional interaction of a novel cellular protein with the papillomavirus E2 transactivation domain.,"The transactivation domain (AD) of bovine papillomavirus type 1 E2 stimulates gene expression and DNA replication. To identify cellular proteins that interact with this 215-amino-acid domain, we used a transactivation-defective mutant as bait in the yeast two-hybrid screen. In vitro and in vivo results demonstrate that the cDNA of one plasmid isolated in this screen encodes a 37-kDa nuclear protein that specifically binds to an 82-amino-acid segment within the E2 AD. Mutants with point mutations within this E2 domain were isolated based on their inability to interact with AMF-1 and were found to be unable to stimulate transcription. These mutants also exhibited defects in viral DNA replication yet retained binding to the viral E1 replication initiator protein. Overexpression of AMF-1 stimulated transactivation by both wild-type E2 and a LexA fusion to the E2 AD, indicating that AMF-1 is a positive effector of the AD of E2. We conclude that interaction with AMF-1 is necessary for the transcriptional activation function of the E2 AD in mammalian cells."
9512561,Interaction between the N-terminus of human topoisomerase I and SV40 large T antigen.,"We have attempted to identify human topoisomerase I-binding proteins in order to gain information regarding the cellular roles of this protein and the cytotoxic mechanisms of the anticancer drug camptothecin, which specifically targets topoisomerase I. In the course of this work we identified an interaction between the N-terminus of human topoisomerase I and the SV40 T antigen that is detectable in vitro using both affinity chromatography and co-immunoprecipitation. Additional results indicate that this interaction does not require intermediary DNA or stoichiometric quantities of other proteins. Furthermore, the interaction is detectable in vivo using a yeast two-hybrid assay. Two binding sites for T antigen are apparent on the topoisomerase I protein: one consisting of amino acids 1-139, the other present in the 383-765 region of the protein. Interestingly, nucleolin, which binds the 166-210 region of topoisomerase I, is able to bind an N-terminal fragment of topoisomerase I concurrently with T antigen. Taken together with our prior identification of nucleolin as a topoisomerase I-binding protein, the current results suggest that helicase-binding is a major role of the N-terminus of human topoisomerase I and that the resultant helicase-topoisomerase complex may function as a eukaryotic gyrase."
16135803,p73 Interacts with human immunodeficiency virus type 1 Tat in astrocytic cells and prevents its acetylation on lysine 28.,"Human immunodeficiency virus type 1 (HIV-1) Tat is a potent transcriptional activator of the HIV-1 promoter and also has the ability to modulate a number of cellular regulatory circuits including apoptosis. Tat exerts its effects through interaction with viral as well as cellular proteins. Here, we studied the influence of p73, a protein that is implicated in apoptosis and cell cycle control, on Tat functions in the central nervous system. Protein interaction studies using immunoprecipitation followed by Western blot and glutathione S-transferase pull-down assays demonstrated the association of Tat with p73. Tat bound to the N-terminal region of p73 spanning amino acids 1 to 120, and this interaction required the cysteine-rich domain (amino acids 30 to 40) of Tat. Association of p73 with Tat prevented the acetylation of Tat on lysine 28 by PCAF. Functional studies including RNA interference showed that p73 inhibited Tat stimulation of the HIV-1 promoter. Furthermore, p73 prevented the interaction of Tat with cyclin T1 in vitro but not in vivo. These findings suggest possible new therapeutic approaches, using p73, for Tat-mediated AIDS pathogenesis."
9311902,Conserved interaction of the papillomavirus E2 transcriptional activator proteins with human and yeast TFIIB proteins.,"Papillomavirus early gene expression is regulated by the virus gene-encoded E2 proteins. The best-characterized E2 protein, encoded by bovine papillomavirus type 1 (BPV-1), has been shown to interact with basal transcription factor IIB (TFIIB) and the TATA binding protein basal transcription factor (N. M. Rank and P. F. Lambert, J. Virol. 69:6323-6334, 1995). We demonstrate that the potent E2 transcriptional activator protein encoded by a gene of human PV type 16 also interacts with TFIIB in vitro. Moreover, a direct comparison of domains within human TFIIB (hTFIIB) required for VP16 and BPV-1 E2 indicates that these acidic activators interact with hTFIIB in a qualitatively similar manner. Our mapping experiments identify hTFIIB interaction domains within the amino-terminal activation domain of BPV-1 E2. Finally, we demonstrate in vitro interaction between Saccharomyces cerevisiae TFIIB and BPV-1 E2, an observation that is consistent with the importance of the E2-TFIIB interaction for BPV-1 E2 transactivation in both systems."
12200142,Interaction of oncogenic papillomavirus E6 proteins with fibulin-1.,"Human papillomavirus (HPV) infection is the primary risk factor for the development of cervical cancer. The papillomavirus E6 gene is essential for virus-induced cellular transformation and the viral life cycle. Important insight into the mechanism of E6 function came from the discovery that cancer-related HPV E6 proteins promote the degradation of the tumor suppressor p53. However, mounting evidence indicates that interaction with p53 does not mediate all E6 activities. To explore the p53-independent functions of E6, we performed a yeast two-hybrid screen and identified fibulin-1 as an E6 binding protein. Fibulin-1 is a calcium-binding plasma and extracellular matrix protein that has been implicated in cellular transformation and tumor invasion. The interaction between E6 and fibulin-1 was demonstrated by both in vitro and in vivo assays. Fibulin-1 is associated specifically with cancer-related HPV E6s and the transforming bovine papillomavirus type 1 E6. Significantly, overexpression of fibulin-1 specifically inhibited E6-mediated transformation. These results suggest that fibulin-1 plays an important role in the biological activities of E6."
17673209,Different activities of the largest subunit of replication protein A cooperate during SV40 DNA replication.,"Replication protein A (RPA) is a stable heterotrimeric complex consisting of p70, p32 and p14 subunits. The protein plays a crucial role in SV40 minichromosome replication. Peptides of p70 representing interaction sites for the smaller two subunits, DNA as well as the viral initiator protein large T-antigen (Tag) and the cellular DNA polymerase alpha-primase (Pol) all interfered with the replication process indicating the importance of the different p70 activities in this process. Inhibition by the peptide disrupting protein-protein interactions was observed only during the pre-initiation stage prior to primer synthesis, suggesting the formation of a stable initiation complex between RPA, Tag and Pol at the primer end."
10369867,Identification of survival motor neuron as a transcriptional activator-binding protein.,"Spinal muscular atrophy (SMA) is an inherited neuro-muscular disease characterized by specific degeneration of spinal cord anterior horn cells and subsequent muscle atrophy. Survival motor neuron ( SMN ), located on chromosome 5q13, is the SMA-determining gene. In the nucleus, SMN is present in large foci called gems, the function of which is not yet known, while cytoplasmic SMN has been implicated in snRNP biogenesis. In SMA patients, SMN protein levels and the number of gems generally correlate with disease severity, suggesting a critical nuclear function for SMN. In a screen for proteins associated with the nuclear transcription activator 'E2' of papillomavirus, two independent SMN cDNAs were isolated. The E2 and SMN proteins were found to associate specifically in vitro and in vivo. Expression of SMN enhanced E2-dependent transcriptional activation, and patient-derived SMN missense mutations reduced E2 gene expression. Our results demonstrate that SMN interacts with a nuclear transcription factor and imply that SMN may serve a role in regulating gene expression. These observations suggest that SMA may in part result from abnormal gene expression and that E2 may influence viral gene expression through SMN interaction."
